DO(ppm),pH,Temperature(*C),TDS,Health
3.7,7.3,29,232,0
5.4,10.5,30,65,0
3.6,7.5,26,263,0
5.8,10,30,81,0
3.6,7.1,31,57,0
3.5,8,26,83,0
3.7,7.3,26,77,0
3.8,7.6,20,72,0
3.6,6.9,17,81,0
2.5,6.2,27,200,0
3.7,7.7,32,83,0
2.7,6.6,32,70,0
3.8,7.5,42,89,0
5.6,12,32,94,0
3.8,8.6,29,247,0
3.6,8.5,29,100,0
5.3,11.3,32,54,0
5.3,10,29,76,0
3.8,7.3,23,230,0
4.2,10.6,27,66,0
3.8,8.4,20,53,0
3.6,8,15,254,0
3.5,8,42,254,0
3.9,7,17,292,0
3.6,6.8,30,299,0
4,7.2,42,93,0
5.3,7.2,31,90,0
3.8,7.2,30,227,0
3.6,6.9,26,241,0
4,8.6,31,89,0
3.9,8,27,293,0
3.7,7,34,282,0
3.6,7.4,27,298,0
3.9,7.7,19,82,0
3.5,7.5,26,255,0
3.8,7.2,31,91,0
4,7,27,77,0
4,8.4,27,57,0
2.7,6.7,31,57,0
4,7.5,21,265,0
3.8,7.5,31,259,0
3.4,5.5,30,80,0
2.9,5.4,29,289,0
2.8,5.8,32,78,0
4.6,11.9,30,272,0
4,7,29,71,0
3.6,7.2,19,208,0
4,7.9,30,87,0
3.7,7,23,233,0
3.5,7.2,26,90,0
3.7,7.8,28,248,0
4,6.8,29,60,0
4,8.7,25,99,0
3.9,8.6,31,67,0
3.7,8.1,31,206,0
54,9.3,28,200,0
3.9,6.9,45,298,0
4,7.7,38,203,0
3.5,8.3,43,208,0
3.5,6.9,44,284,0
3.6,7.4,25,71,0
3.9,7.3,42,284,0
3.7,7.6,30,234,0
4.8,9,27,82,0
3.4,5.1,31,67,0
4,8.4,27,94,0
3.8,8.6,28,202,0
2.6,5.8,32,226,0
3.7,8.1,26,282,0
2.9,5.3,32,299,0
3.9,6.9,32,83,0
3.7,8,30,297,0
3.9,8.2,29,241,0
3.7,8,16,294,0
3.7,8.6,31,291,0
3.6,7.2,29,245,0
5.2,13.1,27,215,0
4,8.7,29,86,0
3.5,6.9,20,65,0
3.8,7.1,29,87,0
2.9,6.3,26,283,0
2.9,6.5,26,284,0
3.8,7.5,26,216,0
3.8,7.6,30,94,0
4.2,8.3,27,237,0
4,8.6,32,223,0
4.5,13.6,29,220,0
3.9,7,28,81,0
4.3,12.7,32,274,0
5.3,8.9,26,69,0
3.7,6.9,28,273,0
4,6.9,26,219,0
3.6,7,23,68,0
5,13.7,30,97,0
4,8.7,28,235,0
3.8,7.3,25,57,0
3.9,8,16,216,0
2.9,6.1,31,239,0
3.5,7.6,23,255,0
3.7,6.9,21,83,0
3.2,6.7,29,90,0
3.9,7.7,26,65,0
5.6,7.6,26,76,0
3.2,5.7,32,284,0
2.6,5.8,27,74,0
4,7.8,26,268,0
4,7.7,26,68,0
3.9,7.6,25,299,0
3.8,7.9,22,249,0
3.8,7.8,33,65,0
4,7,44,61,0
3.8,7.1,18,89,0
3.5,8,34,80,0
3.7,7.3,32,93,0
4,7.7,28,58,0
5.5,7.2,27,94,0
3.6,7,26,246,0
3.8,7.9,29,74,0
3.8,8.4,27,92,0
5.6,8.5,32,232,0
3.9,6.8,28,59,0
3.5,7.1,43,222,0
3.7,7.2,27,50,0
3.7,7.1,15,99,0
3.6,8.4,30,73,0
3.6,7.1,31,90,0
3.1,5.3,31,209,0
3.5,7,18,241,0
3.9,7.7,29,84,0
5.5,11.4,27,67,0
3.8,6.8,18,247,0
4,8.1,15,259,0
3.6,6.8,20,246,0
3.4,5.4,28,59,0
3.5,8.6,29,89,0
3.7,8.4,30,91,0
4,7.2,27,215,0
3.2,5,30,94,0
4,6.9,39,70,0
4,7.1,27,89,0
3,5.1,29,65,0
5.9,9.5,26,272,0
4.3,8.8,32,84,0
3.5,8.1,32,208,0
4.5,7.2,27,209,0
3.9,7.1,43,204,0
3.6,7.9,26,77,0
5.4,7.7,30,214,0
3.9,8.4,23,73,0
5.6,12.6,32,253,0
3.9,7.1,32,279,0
2.5,6.2,32,251,0
4.2,12.8,32,57,0
5,11.8,28,237,0
3.3,5.4,26,217,0
3.5,8.7,33,54,0
3.5,8.7,19,203,0
4.6,10,28,69,0
3.8,6.9,40,279,0
5,8,28,265,0
3.5,7.2,19,254,0
2.5,5.6,26,99,0
3.6,7.6,32,86,0
3.5,7.3,26,88,0
3.7,8.6,26,271,0
3.8,7.9,18,98,0
4.2,9.3,31,272,0
3.5,8.1,19,95,0
3.2,5.1,27,81,0
3.3,5.4,26,219,0
4.7,9.7,30,76,0
4.7,13.4,30,240,0
5.2,11.2,31,299,0
6,13,27,285,0
5.3,8.6,30,200,0
5,7,31,266,0
4,7.4,26,52,0
4,6.8,22,280,0
4,8.6,26,66,0
3.6,7.7,32,74,0
3.9,7.4,29,240,0
3.9,8.3,15,60,0
3.7,8.6,30,81,0
3.5,7.6,39,81,0
3.7,8.2,20,53,0
3.6,7.3,18,247,0
5.9,11.9,32,56,0
5.3,12,31,54,0
4,8.5,26,209,0
3.8,7.5,29,207,0
3.8,7.2,34,82,0
4.2,10.7,31,246,0
5.9,10.5,28,248,0
3.8,7.4,26,295,0
2.6,5,28,267,0
3.5,7.3,29,231,0
3.5,7.4,26,219,0
3.9,7.2,28,250,0
3.2,5.8,26,93,0
3.7,8.3,24,280,0
3.5,7.8,21,264,0
4,7,36,65,0
3.4,5.8,31,227,0
5.6,7.5,30,269,0
5.7,13.4,31,83,0
3.8,7.9,31,217,0
3.5,7.4,17,96,0
3.7,8.1,28,77,0
3.8,6.8,30,220,0
3.8,8.2,36,52,0
52,9.2,27,68,0
3.5,8.3,40,270,0
3.5,8.5,20,100,0
3.7,8.1,28,300,0
5.4,7.6,28,70,0
3.7,7.2,28,72,0
3.6,8.1,32,98,0
3.8,7.3,30,226,0
3.5,7.5,31,63,0
5.7,10.4,31,71,0
5.3,7.9,27,62,0
3.8,7.3,30,203,0
3.6,8.6,31,249,0
3.9,7.5,27,212,0
3.8,7.4,15,216,0
4.3,11.6,27,77,0
3.7,7.5,29,91,0
3.8,8.7,28,55,0
3.1,5.3,32,52,0
4.6,11.8,29,75,0
3.5,6.8,32,76,0
4,8.4,44,222,0
3.7,8,28,228,0
5,11.3,27,210,0
3.5,7.8,25,54,0
3.8,8.5,32,200,0
3.5,6.9,28,94,0
3.2,5.9,31,209,0
3.7,7.5,43,57,0
6,10.9,28,205,0
5.1,8.2,30,207,0
3.8,8.6,29,77,0
4.2,13.2,28,202,0
4.5,13.8,30,50,0
3.8,7.3,18,227,0
3.8,8,31,68,0
2.8,5.7,30,248,0
3.9,8.4,16,70,0
4.9,10.7,31,97,0
3.7,6.8,20,92,0
3.7,7.3,26,63,0
3.7,8,32,267,0
4,8.4,45,72,0
3.5,7.4,27,244,0
3.9,8.6,28,272,0
5.4,7.3,30,93,0
3.9,7.7,15,294,0
3.8,8.3,29,300,0
3.5,8.4,41,262,0
3.8,8.6,31,299,0
3.6,6.9,31,86,0
3.7,7.1,17,275,0
4,6.8,27,275,0
5,12.3,28,56,0
4,8.1,24,281,0
4.4,11.8,27,295,0
3.5,7.4,41,204,0
3.5,7.7,36,75,0
3.2,6.1,29,70,0
3.6,8.4,22,57,0
3.6,8.7,26,67,0
3.5,6.9,28,56,0
5,7.3,26,277,0
3.4,5.4,30,206,0
3.5,7.5,30,208,0
3.7,8.5,19,221,0
4.2,11.6,32,75,0
3.7,8.1,15,50,0
3.8,6.8,25,227,0
3.7,8.1,30,286,0
3.6,8.4,27,64,0
4,7.6,27,294,0
5.8,7.9,31,90,0
3.5,8.2,27,289,0
3.7,8,28,87,0
3.7,7.7,34,279,0
3.6,8.7,27,294,0
3.4,6,27,211,0
3.8,7.4,32,261,0
4,7.9,30,277,0
3.8,7,28,66,0
4,8.2,41,52,0
3.9,6.9,45,271,0
5.2,7,29,243,0
2.6,6.2,29,53,0
3.9,7.4,27,53,0
3.6,6.9,44,235,0
3.7,7.7,29,51,0
3.4,5.7,26,267,0
3.5,7.4,28,241,0
3.5,8.5,30,53,0
3.8,7.9,19,66,0
3.7,8.7,32,92,0
3.8,7,37,257,0
3.7,8.5,38,88,0
3.6,7.1,27,91,0
3.2,6.3,32,70,0
